لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,١٢٣٤٥ ,4+1 ,إمكانية التقسيط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2700 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,١٢٠ ,4+1 ,نقدا فقط ,للبيع فقط ,٠٠٠٠ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,46000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد أولى ,"

مُكيّف
إغلاق مركزي
فرش جلد
وسادة حماية هوائية

"
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,32343 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1700 ,60000 ,4+1 ,نقدا فقط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
بني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,1600 ,180000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500 ,159000 ,3+1 ,نقدا فقط ,للبيع أو التبديل ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000 ,163000 ,4+1 ,نقدا فقط ,للبيع فقط ,5 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,70000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد أولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,89000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,100000 ,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ميتالك ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,220 ,,4+1 ,نقدا فقط ,للبيع فقط ,يد خمسة ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,71000 كم ,4+1 ,نقدا فقط ,للبيع أو التبديل ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

"
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400 ,00000 ,4+1 ,نقدا فقط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

"
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,٢٢٠ ,6+1 ,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أحمر ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,70000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250 ,85000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,3 ,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000 ,130،000 ,4+1 ,نقدا فقط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,,6+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000 ,123 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,3 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200 ,53000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد ثانيه ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,230 ,6+1 ,نقدا فقط ,للبيع فقط ,٢ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,٠٠٠٠٠٠ ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,١ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
كحلي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد

"
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,,4+1 ,نقدا فقط ,للبيع أو التبديل ,5 ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,0000 ,4+1 ,نقدا فقط ,للبيع فقط ,5 ,"

إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد

"
أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,٧٠ الف ,4+1 ,نقدا فقط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانيه ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

"
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,125 ,٧٥٠ كيلو  ,1+1 ,نقدا فقط ,للبيع فقط ,١ ,"


"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
رصاصي ,بنزين ,حكومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2800 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
جهاز إنذار
مسجل CD
فرش جلد

"
فضي ,بنزين ,حكومي ,فلسطينية ,اوتوماتيك ,الكتروني ,4750 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,3 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,130000 ,4+1 ,نقدا فقط ,للبيع فقط ,3 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

"
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,123456 ,,نقدا فقط ,للبيع فقط ,1 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2400 ,40000 ,4+1 ,نقدا فقط ,للبيع فقط ,اولى ,"

مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800 ,,4+1 ,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فيراني ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,1900 ,,4+1 ,إمكانية التقسيط ,للبيع فقط ,,"


"
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,٦٠٠٠٠٠ ,4+1 ,نقدا فقط ,للبيع أو التبديل ,خمسه ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,120000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,يد اولا ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

"
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,290000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,30000 ,4+1 ,نقدا فقط ,للبيع فقط ,غير منمره ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
ذهبي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,49000 ,4+1 ,نقدا فقط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,,,نقدا فقط ,للبيع أو التبديل ,,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
كحلي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1900 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"


"
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,200000 ,4+1 ,نقدا فقط ,للبيع فقط ,4 ,"

مُكيّف
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم

"
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2000 , 00000 ,7+1 ,نقدا فقط ,للبيع فقط ,4 ,"


"
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,150000 ,6+1 ,نقدا فقط ,للبيع فقط ,يد اولا ,"

مُكيّف
إغلاق مركزي
وسادة حماية هوائية

"
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,49000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2700 ,275 ألف كم ,4+1 ,نقدا فقط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أخضر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900 ,290000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,"

مُكيّف
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

"
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,60000 ,4+1 ,نقدا فقط ,للبيع فقط ,استيراد كوري ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أزرق ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,2000 ,,,إمكانية التقسيط ,للبيع فقط ,,"


"
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,95000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,000 ,7+1 ,إمكانية التقسيط ,للبيع أو التبديل ,2 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
رمادي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,105000 ,5+1 ,إمكانية التقسيط ,للبيع أو التبديل ,2 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1000 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

إغلاق مركزي
جنطات مغنيسيوم
فرش جلد

"
سكني ,بنزين ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,230 ,,4+1 ,نقدا فقط ,للبيع أو التبديل ,,"

إغلاق مركزي
جهاز إنذار
فتحة سقف
فرش جلد

"
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,14000 ,6+1 ,نقدا فقط ,للبيع فقط ,ثانيه ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد

"
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,102000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
وسادة حماية هوائية

"
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"


"
رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,68000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,65000 ,6+1 ,إمكانية التقسيط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فضي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,٠٠٠ ,4+1 ,نقدا فقط ,للبيع فقط ,٥ ,"

مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,200 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,0 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,,4+1 ,إمكانية التقسيط ,للبيع فقط ,1 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
سكني ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2000 ,,,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

"
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,77 ,6+1 ,إمكانية التقسيط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أزرق ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900 ,526325 ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,180 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,3 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000 ,250 ,4+1 ,نقدا فقط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,821111 ,4+1 ,نقدا فقط ,للبيع فقط ,5 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد

"
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,50000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,2 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,,4+1 ,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1000 ,,,إمكانية التقسيط ,للبيع فقط ,,"


"
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600 ,450000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,ثالثة ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,1111 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,2 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,71000 ,,إمكانية التقسيط ,للبيع فقط ,يد أولى ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
رمادي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,60000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,130000 كيلو متر ,6+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,133000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,5 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,1234 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,1 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,3000 ,180000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
فتحة سقف
وسادة حماية هوائية

"
أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,219 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,5 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,3000 ,,4+1 ,إمكانية التقسيط ,للبيع فقط ,ثانيه ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,51000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,105000 ,6+1 ,نقدا فقط ,للبيع فقط ,يد أولى  ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية

"
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانيه ,"

مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,٢١٥٠٠٠ ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثالثه ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد

"
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,157000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200 ,84000 ,,إمكانية التقسيط ,للبيع فقط ,اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,92000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3600 ,80000 ,7+1 ,إمكانية التقسيط ,للبيع فقط ,3 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,١٨٠٠٠٠ ,4+1 ,إمكانية التقسيط ,للبيع فقط ,٥ ,"


"
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانيه ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
