car_color,fuel_type,car_type,car_license,gear_type,windows,motor_power,speedometer,passengers_number,payment_method,car_state,ex_owners,additions,price
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,51000,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",46600
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,180000,5.0,إمكانية التقسيط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",85000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,150000,5.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",26500
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,2400,,3.0,إمكانية التقسيط ,للتبديل فقط ,2.0,"


",65000
زيتي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",85000
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,0,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية

",35000
فيراني ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,,,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",88000
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,39000,,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",127000
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,5.0,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",57000
أخضر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,9000,20003,,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",19000
ذهبي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,90,7.0,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",65000
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,40000,,نقدا فقط ,للبيع أو التبديل ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",147000
رصاصي ,بنزين ,خصوصي ,نمرة صفراء ,نصف اوتوماتيك ,الكتروني ,1600,196000,5.0,نقدا فقط ,للبيع فقط ,3.0,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",10000
بترولي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,7.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",136000
كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",25000
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,244789,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",60000
زيتي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,170000,5.0,إمكانية التقسيط ,للبيع فقط ,4.0,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",45000
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5.0,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",55000
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,120000,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",34000
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2700,280000,5.0,نقدا فقط ,للبيع فقط ,4.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",70000
أخضر ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
مسجل CD
فتحة سقف

",58000
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,90000,,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",44000
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5.0,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",100000
رمادي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,300000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",37000
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,7.0,نقدا فقط ,للبيع أو التبديل ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",74000
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,,5.0,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",65000
فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,120000,5.0,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",55000
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2400,125000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",58000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,200,5.0,نقدا فقط ,للبيع أو التبديل ,4.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",40000
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,79000,5.0,نقدا فقط ,للبيع فقط ,4.0,"

مُكيّف
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",35000
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2200,80000,7.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",68000
رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,15000,5.0,نقدا فقط ,للبيع أو التبديل ,4.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
فرش جلد
وسادة حماية هوائية

",32000
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,يدوي ,2500,0,8.0,إمكانية التقسيط ,للبيع أو التبديل ,6.0,"

مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",17000
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1400,220000,5.0,نقدا فقط ,للبيع فقط ,5.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",43000
أصفر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2400,,,نقدا فقط ,للبيع فقط ,,"


",45000
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,67000,5.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",52000
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,123,5.0,إمكانية التقسيط ,للبيع أو التبديل ,4.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",74000
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,1000000,7.0,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",140000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,87689,5.0,نقدا فقط ,للبيع أو التبديل ,9.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

",30000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,,5.0,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",25500
زيتي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,,8.0,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",82000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,80,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",45000
رصاصي ,ديزل ,تجاري ,فلسطينية ,عادي ,يدوي ,2400,,5.0,نقدا فقط ,للبيع فقط ,,"


",77000
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,35000,5.0,إمكانية التقسيط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",218000
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",57000
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,112,5.0,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",57500
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,,5.0,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",52000
أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,يدوي ,230,,3.0,نقدا فقط ,للتبديل فقط ,,"


",40000
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,200,118000,5.0,نقدا فقط ,للبيع فقط ,4.0,"


",80000
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,77000,5.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",54000
رصاصي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم

",43000
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,70,7.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",130000
أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,,7.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",750000
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,18000,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
وسادة حماية هوائية

",49500
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,1234,5.0,إمكانية التقسيط ,للبيع أو التبديل ,5.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",48000
سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1000,,5.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مُكيّف
مسجل CD
جنطات مغنيسيوم

",23000
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,4800,,7.0,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",57000
كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,,5.0,نقدا فقط ,للبيع فقط ,,"


",7500
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,50000,,إمكانية التقسيط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",75000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,0,,إمكانية التقسيط ,للتبديل فقط ,6.0,"

إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد

",1500
أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,115000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,3.0,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",65000
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,176000,5.0,نقدا فقط ,للبيع فقط ,3.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",37000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,900,30,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
فرش جلد
وسادة حماية هوائية

",65000
فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,105000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",55000
رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,50,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",58000
أبيض عاجي ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,3200,,3.0,نقدا فقط ,للبيع أو التبديل ,,"


",30000
أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,12000,5.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",66000
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600,30000,5.0,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",42000
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,24489,5.0,إمكانية التقسيط ,للبيع فقط ,8.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",37000
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,,5.0,نقدا فقط ,للبيع فقط ,0.0,"

إغلاق مركزي
جنطات مغنيسيوم

",31000
كحلي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,0,5.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",46000
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,47000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",63000
أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,65000,7.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",90000
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,2500,90990800,8.0,إمكانية التقسيط ,للبيع أو التبديل ,3.0,"

مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",16000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,,,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",36000
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,92000,5.0,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",86000
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,9877890,5.0,نقدا فقط ,للبيع فقط ,4.0,"

مسجل CD

",20000
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,84000,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",102000
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,,5.0,نقدا فقط ,للبيع فقط ,,"

مسجل CD
جنطات مغنيسيوم

",40000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,5.0,إمكانية التقسيط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",53000
أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2800,,5.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم

",38000
سكني ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",3600
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,5.0,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",35000
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1995,123000,5.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",67500
أبيض عاجي ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,3000,360,7.0,نقدا فقط ,للبيع فقط ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",120000
برتقالي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,350000,8.0,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",50000
بني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,83000,5.0,إمكانية التقسيط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",110000
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5.0,نقدا فقط ,للبيع أو التبديل ,1.0,"


",80000
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,65000,5.0,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",65000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي ,1900,0,5.0,إمكانية التقسيط ,للبيع أو التبديل ,2.0,"

مُكيّف
جهاز إنذار
مسجل CD

",16000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,50000,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",47500
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,905,125000,5.0,نقدا فقط ,للبيع أو التبديل ,10.0,"

مُكيّف
مسجل CD

",5500
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,82000,4.0,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",54000
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600,,5.0,إمكانية التقسيط ,للبيع أو التبديل ,,"

إغلاق مركزي
جنطات مغنيسيوم

",20000
أزرق سماوي ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,250,,,إمكانية التقسيط ,للبيع فقط ,6.0,"

مُكيّف
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",31000
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1800,,,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",36000
أزرق سماوي ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,130000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,5.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",35000
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,45000,5.0,نقدا فقط ,للبيع أو التبديل ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",165000
أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,يدوي ,3000,380000,7.0,نقدا فقط ,للبيع فقط ,3.0,"

مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",45000
سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,70000,5.0,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

",77000
بترولي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3700,35000,4.0,إمكانية التقسيط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",160000
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,140000,,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",55000
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,135000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",61000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0,5.0,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",46000
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,2400,0,3.0,إمكانية التقسيط ,للبيع فقط ,4.0,"


",22000
أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,220,,,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
مسجل CD
فتحة سقف
فرش جلد

",40000
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,55000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",86000
سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500,,5.0,نقدا فقط ,للبيع أو التبديل ,4.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

",2500
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5.0,نقدا فقط ,للبيع فقط ,,"


",140000
